,DiskUsage,TotalCpus,TotalMemory,TotalDisk,CpuCacheSize,TotalVirtualMemory,GLIDEIN_Job_Max_Time,TotalSlots,CpuIsBusy,SlotType,Failure,Site
84239,750000,128,248000,371393268,512,356252776,7200,32,0,0,0,Purdue-Anvil
84241,51565,64,122000,669995400,40960,131890088,7200,16,0,0,0,T3_US_NERSC
84260,63045,64,122000,669995328,40960,131890088,7200,16,0,0,0,T3_US_NERSC
84270,32746,56,192000,149547400,39424,196111704,7200,15,0,0,0,TACC-Frontera
84279,12500,48,192000,149597856,33792,196453588,7200,13,0,0,0,TACC-Stampede2
84280,66632,64,122000,669995284,40960,131890088,7200,16,0,0,0,T3_US_NERSC
84286,9927410,8,32768,13951473876,512,593286392,34800,8,1,0,1,Manchester
84288,186008,4,10000,1690605376,14080,135677160,34800,5,1,0,1,CCIN2P3
84291,408,8,20000,1001764212,40960,135169984,34800,8,1,0,0,Bristol
84293,1224659,4,30000,5749902708,512,500686884,34800,5,1,0,1,SURFsara
84294,3586092,64,122000,669995916,40960,131890088,7200,16,0,0,0,T3_US_NERSC
84299,743723,8,20480,3138874188,512,594790344,34800,6,1,0,1,FZU
84301,2769830,128,248000,911383112,512,263689916,7200,32,0,0,0,SDSC-Expanse
84310,2152200,8,32768,14058424412,512,592898848,34800,9,1,0,1,Manchester
84311,436,1,4096,2558042160,512,330478048,34800,1,1,1,0,NIKHEF
84314,757103,128,248000,371397520,512,354476392,7200,32,0,0,0,Purdue-Anvil
84318,24189,64,122000,669995304,40960,131890088,7200,16,0,0,0,T3_US_NERSC
84328,438793,64,122000,669995384,40960,131890088,7200,16,0,0,0,T3_US_NERSC
84333,774526,8,20240,1331452932,512,518071936,34800,9,1,0,1,CERN
84340,82998,64,122000,669995284,40960,131890088,7200,16,0,0,0,T3_US_NERSC
84341,2105851,8,32768,14097267636,512,593686620,34800,9,1,0,1,Manchester
84358,463,8,32768,6384921664,512,594805064,34800,9,1,0,1,Manchester
84359,21620,128,248000,911383068,512,263689912,7200,32,1,0,0,SDSC-Expanse
84360,870929,64,122000,669995740,40960,131890088,7200,16,0,0,0,T3_US_NERSC
84365,67228,56,192000,149517932,39424,196111704,7200,14,0,0,0,TACC-Frontera
84381,2305326,8,20000,1020417376,35840,131638832,34800,9,1,0,0,Bristol
84382,1474912,2,8000,408199544,512,795206952,34800,3,1,0,1,RAL
84383,1779309,48,192000,149630788,33792,196453584,7200,12,0,0,0,TACC-Stampede2
84384,1534746,2,8000,960606864,512,794795856,34800,3,1,0,0,RAL
84386,2665327,4,30000,5689871252,512,503709500,34800,3,1,0,1,SURFsara
84389,3952271,2,8000,362214788,512,795453220,34800,2,1,0,0,RAL
84391,13393037,4,30000,2795549144,16384,306159052,34800,5,1,0,0,SURFsara
84394,3230342,128,248000,371398380,512,353794148,7200,32,0,0,0,Purdue-Anvil
84397,1059642,128,248000,371398188,512,357436260,7200,32,1,0,0,Purdue-Anvil
84399,225000,128,248000,911382596,512,263689912,7200,32,0,0,0,SDSC-Expanse
84402,118189,128,248000,371398280,512,356090212,7200,32,0,0,0,Purdue-Anvil
84405,1952279,8,32768,6168715384,512,594634056,34800,4,1,0,0,Manchester
84409,222321,56,192000,149511536,39424,196111708,7200,15,0,0,1,TACC-Frontera
84422,820347,8,16384,5333354012,35840,156878484,34800,9,1,0,1,PIC
84426,432511,64,122000,669995324,40960,131890088,7200,16,0,0,0,T3_US_NERSC
84429,93914,64,122000,669995288,40960,131890088,7200,16,0,0,0,T3_US_NERSC
84431,40320,64,122000,669994448,40960,131890088,7200,16,0,0,0,T3_US_NERSC
